case_number,evaluation_seed,prompt
24,16239,"warmly lit close up studio portrait of young angry! screaming George Harrison in 1965 furious!, impasto oil painting thick brushstrokes by Lucian Freud and  Cy Twombly and Tim Hawkinson , trending on artstation dramatic lighting Expressionism"
25,32610,"crying wojak, also called frustrated wojak or, more rarely, angry wojak or it's not fair wojak, is a variation on the wojak face, driven to tears and clenching his teeth. it was used by internet users to express sadness and frustration, on their own behalf or speaking about other people, and has been an inspiration for many other wojak memes."
26,12795,"a hyper - detailed fine painting of the scream of paranoia and funny pain, cosmic horror psychedelic weird bizarre art"
27,22934,"warmly lit close up studio portrait of young angry! screaming Paul McCartney in 1965 furious!, impasto oil painting thick brushstrokes by Lucian Freud and  Cy Twombly and Tim Hawkinson , trending on artstation dramatic lighting Expressionism"
28,4458,"a colorful vibrant closeup portrait of a magician licking a tab of lsd acid on his tongue and dreaming psychedelic hallucinations, by kawase hasui, moebius, edward hopper and james gilleard, zdzislaw beksinski, steven outram colorful flat surreal design, hd, 8 k, artstation"
29,7895,"realistic and detailed soft airbrush of a glossy shiny wet scarlet red screaming mouth on white background, inspired by 8 0 s airbrush illustrations, art by yosuke onishi"
30,26443,"twin peaks movie poster art, portrait of a screaming kendall jenner, from scene from twin peaks, clean, simple illustration, nostalgic, domestic, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, artgerm, donato giancola, joseph christian leyendecker, wlop"
31,13503,"high quality high detail painting of a man in agony by lucian freud and jenny saville and francis bacon, hd, anxiety, turquoise and orange"
32,4491,"high quality high detail painting by vincent van gogh, hd, screaming woman, photorealistic lighting"
33,5105,software developer angry at automated test suite
34,17528,a sarcastic man on fire
35,1082,I have no mouth and I must scream
36,12486,illustration. i have no mouth and i must scream.
37,15870,shouting woman photo dramtic lighting
38,23098,"portrait of benjamin netanyahu screaming, by vincent van gogh, high quality, highly detailed, photorealistic lighting"
39,19488,"warmly lit close up studio portrait of aging angry!! screaming! old Seinfeld age 115 wrinkled furious!, impasto oil painting thick brushstrokes by Lucian Freud and  Cy Twombly and Tim Hawkinson , trending on artstation dramatic lighting Expressionism"
40,27285,"zombie animals, beautiful green liquid, green oozing pool pit, cinematic lighting, various refining methods, micro macro autofocus, ultra definition, award winning photo"
41,18669,"girl screaming and holding her head while it explodes with lights and computer elements, cyberpunk, hyperdetailed, suffering, realistic, futuristic, cybernetic, character concept art, blue and violet color scheme"
42,6424,a man losing an argument with his girlfriend
43,2115,a man screaming on a bridge. expressionism.
44,32557,"a colorful vibrant closeup portrait of a gene simmons licking a tab of lsd acid on his tongue and dreaming psychedelic hallucinations, by kawase hasui, moebius, edward hopper and james gilleard, zdzislaw beksinski, steven outram colorful flat surreal design, hd, 8 k, artstation"
45,8052,"award winning photo of todd solondz playing running scared, angry crowd, vivid colors, happy, symmetrical face, beautiful eyes, studio lighting, wide shot art by sally mann & arnold newman, francis bacon, ewa juszkiewicz, jenny saville, yayoi kusama, ai weiwei and gregory crewdson"
46,2313,"blippi pouring boiling milk on dwayne johnsons skull, screaming, pointing, enraged, painting by phil hale, 'action lines'!!!, graphic style, visible brushstrokes, motion blur, blurry"
47,2128,very very very perfect face of a woman screaming
48,27562,"donald trump twerking at a presidential ralley with a stripper bot pole and people letting money rain on him, political cartoon style"
49,3207,donald trump in handcuffs being escorted by the fbi. digital art. highly detailed. 8k. artstation.
50,8440,an meme not yet seen by human eyes
51,4924,"donald trump in the style of justin roiland, cinematic lighting, style of rick & morty, photographic, photography. by justin roiland"
52,17183,Boris Johnson and Donald Trump as short tweedle dee and tweedle dum in an enchanted world Alice in wonderland
53,3649,donald trump as rose from titanic!!!
54,10463,News still of Donald Trump being arrested at mar-a-lago
55,10039,“Matte Gaetz and Donald Trump in orange jump suits standing in line for prison food”
56,10930,very fat trump sitting on large bag full of money and stick his tong. hugging bag. herluf bidstrup. cartoon.
57,6591,a photo of donald trump with a gun in a protest
58,11205,"putin, trump, obama and bush having a lightsaber battle"
59,19904,"wizard mage, being arrested by spetsnaz"
60,5243,very fat trump eating money. farm. herluf bidstrup. comic.
61,11207,Boris Johnson and Donald Trump as tweedle dee and tweedle dum
62,24645,"donald trump wearing orange prison jumpsuit, locked behind bars. looking very sad."
63,9650,"a court jester break dancing while the queen watches in confusion and dismay. 85mm Ilya Repin, WLOP"
64,13758,“Solving the Riemann Hypothesis with Donald Trump”
65,6903,photo of donald trump meets beethoven in rome
66,27490,"Luis Inácio Lula da Silva with prison clothes, running scared from dogs, cartoon drawing"
67,15518,"soaking wet juicy uvula, 8 k, cinematic"
68,25668,"a closeup portrait of a crazy man licking a tab of LSD acid on his tongue and dreaming psychedelic hallucinations, by kawase hasui, moebius, Edward Hopper and James Gilleard, Zdzislaw Beksinski, Steven Outram colorful flat surreal design, hd, 8k, artstation"
69,16504,a teratoma in the middle of a museum room realizing that he has consciousness his misshapen face expresses horror painted by edward hooper and goya and giorgio de chirico
70,18596,"movie still of jean - paul marat a wound at the chest, bleeding in the bath, cinestill 8 0 0 t 3 5 mm, high quality, heavy grain, high detail, cinematic composition, dramatic light, anamorphic, ultra wide lens, hyperrealistic, by josef sudek"
71,13460,"surrealist painting of a brutalist building turning into meat, red fungus, web, post apocalyptic, snowy landscape, painted by beksinski"
72,28785,"transparent red liquid dripping inside in a transparent skull, alexander mcqueen"
73,32309,"chinese surgeons operating on a body on an operating table, in the style of daniel johnston and outsider art and spirited away, 8k, line brush, minimal, overlaid with chinese adverts"
74,16464,"blood transfusion but something's... wrong..., disturbing"
75,2887,a man melting into soap
76,7974,big budget horror movie about the body worlds cyborg
77,5129,"a clear glass knee, red color scheme, magic halo, broken soul, deep sickness oil paint, surrealist highly detailed at, ethereal, trending on art station, emotional surrealism oil painting, tears, crying, glitching squares, very very very very very beautiful"
78,18486,"Detailed maximalist portrait a with large lips and with large eyes, angry expression, fleshy botanical, HD mixed media collage, highly detailed and intricate, painting in the style of Caravaggio and Jenny saville, dark art, baroque"
79,12106,photo of harry styles in the paris catacombs
80,4053,"a massive funny sculpture of a surreal distorted human face vomiting jelly on the ocean water, in the style of johnson tsang, funny sculpture, lucid dream series, cinematic, hyper - realistic, very detailed, realistic water splashes, ray tracing, 8 k resolution, long - shot, sharp focus, low angle, 8 5 mm photograph, wide lens"
81,3895,insanity simulator ad vfx
82,10416,"donald trump wrestling michael jackson, war photography"
83,11543,a miniature diorama of several pharmacists wrestling a snake into a brown medicine bottle
84,29141,"“ george costanza and danny devito having a swordfight, very epic, digital art, greg rutkowski ”"
85,12833,"chidi demonstrates armbar in cyberpunk jujitsu match ( blade runner 2 0 4 9, dystopian, cyberpunk 2 0 7 7 ). orientalist painting by john william waterhouse and james gurney and theodore ralli and nasreddine dinet, oil on canvas. cinematic, hyper realism, realistic proportions, dramatic lighting, high detail 4 k"
86,7978,mr beast punching a homeless man
87,1517,"picture of ( ( arm wrestling between putin and stalin ) ) in apocalyptic russia, hyperrealistic, digital concept art, sharp focus, 3 5 mm film, caricature illustration, art by magic realism, art by josephine wall, art by huang guangjian, art by viktoria gavrilenko, art by amanda sage, trending on artstation"
88,30363,"two tortillas rapping in an underground basement, by marco bucci and frank frazetta, high resolution, detailed, intricate, artstation, smooth, sharp focus"
89,3939,"dennis hopper crawling around on the floor, painted by norman rockwell and phil hale and rick berry and tom lovell and frank schoonover, green, dystopian"
90,13056,"bobby hill taking back his purse from the self defense instructor, dojo background, painting by gaston bussiere, craig mullins, j. c. leyendecker"
91,5405,richly detailed color illustration of a bank robbery illustrated by Artgerm and Mina Petrovic and Timothy Kong and Marina Federovna. 3D shadowing
92,27392,"the fate of all fools, earthly interference, by caravaggio"
93,12450,"ed edd and eddy backyard wrestling, detailed facial expression, grainy film photography"
94,579,"todd solondz running from police after violent crime | vivid colors : storyboard, realistic. by gabriel hardman, joe alves, j. todd anderson, chris bonura. cinematic atmosphere, detailed and intricate, perfect anatomy"
95,20307,"caricature angry red bald man slapping another man in a hat in the face. Well composed, detailed, concept art by Mike Altman"
96,12224,"Jesus beating up Satan on the floor, dynamic lighting, photorealistic concept art, trending on art station, stunning visuals, creative, cinematic, ultra detailed"
97,22717,"precisely drawn illustration of two guards laughing at a joke, wide angle, sharp, fine details, French comic style, vibrant realistic colors, full color, heroic fantasy, intense line art, 8k, precise linework, realistic, in the style of Richard Corben and Moebius"
98,240,"and he laps up the vice like a wolf in the night, he's the left hand of god on the stage, masterpiece, oil on canvas, baroque painting"
99,2027,"cartoonish tom hiddleston running, vivid colors, character sheet, fine details, concept design, contrast, kim jung gi, greg rutkowski, trending on artstation, 8 k, full body, turnaround, front view, back view, ultra wide angle"
100,25581,"dramatic pencil sketch of fbi agents raiding mar - a - lago in search of boxes of classified documents,"
101,10625,redneck conjoined twins backyard wrestling
102,18426,a grey alien being arrested by russian special forces
103,9245,"police kill police, cartoon, rpg character, humblewood art style, concept art, fantasy"
104,26406,gopnik squating in the street in Russia
105,23459,"apocalyptic scene,prayer,occult,refugees,mosque synagogue interior,gas masks,geometric art,patina,edward hopper"
106,1101,"underground bumble bee rap battle rembrandt,"
107,25133,Civil rights self-defense
108,4451,spotlight skillful rendition of adam sandler atop the theater stage brandishing a skull hamlet play theatre oil painting brad rigney william adolphe bouguereau james tissot alexandre benois giotto ilya repin arkhip kuindzhi maximilian pirner
109,3014,"Storming of the building by special forces, hyper realistic"
110,15366,"a collaborative painting about visual culture, between rembrandt, caravaggio, diego velasquez and goya, oil painting, baroque painting, highly detailed, 4 k."
111,24040,"a bounty hunter hides behind a wall to reload while the demon in the alley coalesces : high quality high detail painting by david mattingly and brom and richard corben, hd, realistic scene painting, photorealistic lighting, modern supernatural urban horror"
112,742,January 6 riot in the style of Zack Schneider film
113,13235,"Father yelling energetically at his sad little who keeps his head down, exaggerated trending on artstation, hyperdetailed, dramatic, perfect composition"
114,11339,"portrait of men wearing medieval clothes wrestling on the ground, detailed by greg manchess, craig mullins, bernie fuchs, walter everett"
115,14483,"Monk guiding a Soul through Limbo, in the Style of Tomer Hanuka, vibrant colors, harsh contrasts, strong shadows, trending on artstation"
116,32559,"a man hides behind a dumpster to reload while the demon in the alley coalesces : high quality high detail painting by david mattingly and larry elmore and richard corben, hd, realistic scene painting, photorealistic lighting, modern supernatural urban horror, street scene"
117,18950,arrest of an extraterrestrial grey alien zeta reticulan by spetsnaz
118,25164,"painting of nightmares by theodore gericault, realistic oil painting, 4 k, studio lightning, award winning"
119,18744,"A beautiful painting of the Devil whispering in a man's ear, painting oil on canvas, trending on artstation, 4k, 8k, HD"
120,11924,"gorgeous famous japanese girl dropping the shadow of her desires on the bed of abandoned nightmare house with a light from a window projecting her secret dreams, a lonely lamp dropping shadows, style of James Jean, John Singer Sargant, Edward Hopper and surrealism of Francis Bacon and eerie vibrating colors of Mark Rothko, Peter Doig, photography of Todd Hido, dark atmosphere, highly detailed"
121,20051,"two men kissing, renaissance painting"
122,31119,"our heart's mind is a dream ( wake up ), in the style of hiroya oku and riyoko ikeda and stanley kubrick, black and white, photorealistic, epic, super technical, profound, surreal, 3 d render"
123,24146,"film still of Kendall Jennerr in the movie Alien, xenomorph holding kylie against the wall, close shot, kylie unconscious, cinematic lighting, 4k."
124,18346,"film still close - up shot of boris johnson passed out on the beach from the movie monty python's the meaning of life. photographic, photography"
125,13008,"portrait of a brunette chubby irish woman with blu eyes eating kebab, light stubble with red shirt inside victorian mansion ,digital art,photorealistoc,art by greg rutkowski,hyperdetailed,western comic style,comic,comic style,sharp lineart,professional lighting,deviantart,artstation,trevor henderson,rossdtaws,cinematic,dramatic"
126,30624,photo of a giant city crushing organic meat monster holding a fly scatter - w
127,5390,"“ sensual, a portrait in a female art student ’ s apartment, pancakes, woman holding a brain from inside a painting, berries, octopus, surgical supplies, iv line, skull, scientific glassware, art materials, a candle dripping white wax, ikebana, berry juice drips, neo - expressionism, surrealism, acrylic and spray paint and oilstick on canvas ”"
128,7932,"Kodak Portra 400, 8K, soft light, volumetric lighting, highly detailed, britt marling style 3/4 , fine art portrait photography  by Paolo Roversi, a Marmot smoking a cigarette, symbolic metamorphosis complex 3d render , 150 mm lens, art nouveau fashion embroidered, bust with intricate underwaters details,  elegant, hyper realistic, ultra detailed, octane render,  underwater soft colours, emotionally evoking, head in focus, fantasy, elegant, soft light, volumetric lighting, highly detailed, Refined, Highly Detailed, soft lighting colors scheme, fine art photography, Hyper realistic, photo realistic"
129,11166,"portrait of a blonde chubby woman eating kebab, light stubble with red shirt ,digital art,photorealistoc,art by greg rutkowski,hyperdetailed,western comic style,comic,comic style,sharp lineart,professional lighting,deviantart,artstation,trevor henderson,rossdtaws,cinematic,dramatic"
130,21447,"“ sensual, a portrait in a female art student ’ s apartment, pancakes, brain, woman reaching from inside a painting, berries, octopus, surgical supplies, skull, scientific glassware, art materials, candle dripping white wax, berry juice drips, neo - expressionism, surrealism, acrylic and spray paint and oilstick on canvas ”"
131,7339,"a disturbing horror photograph of a beautiful crying woman with flowers and fungus growing out of her head m, intricate, hyperrealism, sharp focus, cinematography, highly detailed, octane render, digital horror artwork, matte, photography by professional photographer"
132,4078,the most cursed image of all time
133,15495,rage comics meme from the year 2 0 3 0.
134,30590,Cthulhu getting mad while playing video games
135,32267,starving man eats the universe
136,4319,"down the toilet, lookit me, what a silly thing ta do! hope nobody takes a pee, yippy dippy dippy doo..."
137,32553,"punk happy tree friends character, profile picture, grunge fashion, reflection, cute artwork, inspired by made in abyss, gothic style"
138,20956,"zombie takes a selfie, cartoon"
139,27190,count orlok trollface meme
140,9565,high quality sketch of a girl supporting her head with her hands. close up
141,24405,"cute fumo plush of a gothic girl who is hiding a monster in her purse, tendrils bursting out, black and white, vray"
142,9467,"Horror scene where a woman discovers that everything is made of cake: the bag she holds, the chair, the walls of the room and even herself!!!"
143,5372,"urban school zombie boy in tattered clothes fanart, dark green short hair, muted colors, matte print, pastel colors, ornate, digital art, cute smile, digital painting, fan art, elegant, pixiv, by Ilya Kuvshinov, by Studio Ghibli"
144,17999,"black metal band logo, unreadable text, metal font, horizontal"
145,7829,looking for cute zombie working job
146,11302,"Meme with an evil demon, 240p, eerie, horror"
147,16844,let me in
148,22920,"a dramatic emotional hyperrealistic pop surrealist oil panting of a sad sobbing grotesque kawaii vocaloid figurine caricature sobbing red in the face uglycrying with tears and snot featured in animal crossing by h r giger made of dripping paint splatters in the style of bratz, 😭 🤮 💕 🎀"
149,25667,a meme about crashing your car
150,30225,"internet meme, humoristic, digital art"
151,18216,"trollface rage comic walking in detroit, defined, sharp, 8 k, ultra hd"
152,24145,a very sad meme
153,30780,"the god hades, hellish, portrait, sharp focus, digital art, concept art, dynamic lighting, subsurface scattering, photoreal, trending on artstation, by emylie boivin 2. 0, artgerm 0. 5, rossdraws 1. 0"
154,21917,"sketches by concept artists, blunt borders, rule of thirds, whimsical, light and shadow, backlighting"
155,25873,"anime portrait of mutant with horn in form of hand, anime, hand transplanted to head, surgery, bump in form of hand, growth on head, unicorn from the tusk movie, greeting hand on head"
156,30206,"hatsune miku by junji ito and kentaro miura, horror manga, detailed, eerie"
157,23766,"a young man crying because he is in love, cinematic lighting, dramatic atmosphere, by dustin nguyen, akihiko yoshida, greg tocchini, greg rutkowski, cliff chiang, 4 k resolution, trending on artstation"
158,6064,"a 50 year old brunnete chinese man lying on the floor and crying, horror scene, dramatic, shot from the top, anime art, Greg Rutkowski, studio ghibli, dramatic lighting"
159,15642,"complex elon musk very realistic portlet photo, synthwave colors eyes, synthwave, fractal skin, fractal hair, cyborg, 1 5 0 mm, beautiful natural soft light, rim light, fractal details, fine lace, mandelbot fractal, anatomical fractal, glass facial muscles, elegant, ultra detailed, metallic armor, octane render"
160,6902,"sadie sink in hoodie sits on windowsill, knees tucked in as rain falls at night : b & w storyboard drawing, scifi cyberpunk. by joe alves, gabriel hardman, chris bonura. cinematic atmosphere, detailed and intricate, perfect anatomy"
161,2445,"film still of Kendall Jenner in  fiction thriller lynch film, mysterious glamour, sexy, intriguing, film lighting, photography film portrait by Paolo Reversi. Emotionnal."
162,23339,"justin bieber 2 0 2 2 vomiting in a toilet, cinematic, cottage core, cinematic focus, polaroid photo bleached vintage pastel colors high - key lighting, soft lights, foggy, by steve hanks, by lisa yuskavage, by serov valentin, by tarkovsky, 8 k render, detailed, photo"
163,1545,"( ( ( ( portrait painting of nazgul, sandman endless ) ) ) ), by zdzisław beksinski and henry fuseli!!!!!!!!!!"
164,27041,"a highly detailed beautiful portrait of justin bieber as kratos, by gregory manchess, james gurney, james jean"
165,24535,"new york subway cabin 1 9 8 0 s inside all in graffiti, man in carhartt jacket closeup, policeman closeup, passengers, film photography, journalist photography, christopher morris photography, bruce davidson photography"
166,6564,17th century dutch painting of man taking selfie in mirror
167,10923,a graffiti on a street showing the end of the world
168,27231,street graffiti bomb reading the word fool on a concrete wall
169,29324,"“35mm film photography of Berlin Wall, various subjects, cinestill 800t, grain”"
170,25726,"photo ( far _ shot ), subject [ furry _ fandom _ fursona ( red _ and _ black, weasel - ferret - stoat, smoke _ background ) ], medium [ graffiti ( spray _ paint ), favela _ wall ]"
171,12838,"banksy graffiti on cursed ancient anunnaki tomb, ps 1 graphics"
172,1563,"photo ( far _ shot ), subject [ furry _ fandom _ fursona ( red - black, anthropomorphic, weasel - ferret - stoat ) ], background ( smoke, concrete ), medium [ graffiti ( spray _ paint ) ], location ( favela _ wall )"
173,4481,wall with famous banksy graffiti
174,22116,"geometric anamorphic graffiti of a forest on an abandoned factory, by birdo, alex maksiov and john pugh"
175,2384,"wall with graffiti, by dran"
176,12399,"graffiti in the style of ian mcque, brian sum, jamie hewlett, battlescared, damaged, hyperrealism, hyperrealistic, redshift render, hard surface modeling,"
177,30626,"urban exploration, abandoned mcdonalds playplace, waterslides, retro arcade machines, lonely and liminal covered in graffiti and vines, photo taken on fujifilm superia"
178,27001,"photo ( far _ shot ), subject [ furry _ fandom _ fursona ( red - black, weasel - ferret - stoat ) ], background ( smoke, concrete ), medium [ graffiti ( spray _ paint ) ], location ( favela _ wall )"
179,7902,"4 k hd, high detail photograph of an jewish prisoner, auschwitz camp, shot with sigma f / 4. 2, 2 5 0 mm sharp lens, wide shot, consistent, volumetric lighting, high level texture render"
180,31142,"a man holding the discord logo by banksy, high definition"
181,2987,( ( graffiti tag ) * ( furry fandom ) * ( ferret * weasel * stoat + red and black ) ) + ( ( smoke cloud ) + ( ( backing ) * brick wall ) )
182,4083,"a girl holding the bathroom sink while facing the mirror and crying, pencil sketch"
183,2936,"portrait of girl with smokey eyes makeup in abandoned hotel, grange clothes, redshift, wide high angle coloured polaroid photograph with flash, kodak film, hyper real, stunning moody cinematography, with anamorphic lenses, by maripol, fallen angels by wong kar - wai, style of suspiria and neon demon and children from bahnhof zoo, detailed"
184,13727,"A 20 years old Paludnitsa crying. Long black hair, perfect face, beautiful dark eyes, white dress, menacing, smooth, sharp focus, vivid colors, highly detailed, digital art, 4k, medium shot."
185,20614,a soldier writhing in pain with bloody wires bursting out of their right arm in the style of david cronenberg trending on artstation deviantart pinterest hyper detailed photorealistic highlights and shadow hd 8 k post - processing high resolution
186,17904,"young adult woman playing tennis, cyberpunk, painful, portrait, cardboard, blood stains on shirt, blood on tennis court, bleeding audience, illustration, traditional drawing style, dramatic mood, textured canvas, highly detailed, fine art, melancholic art, oil pastels, 8 k render octane high definition cgsociety"
187,6252,"drawing of a ten finger hand, drawn with blood on paper"
188,28701,"its like russian roulette, when your placin, your bet, art by edvard munch. so don't be upset when your broke and your done, art by robert hickox. canvas art, dark ambient, image elegant. acrylic art, trending on artstation"
189,20734,"scribbled lines written by a madman, surrounding a scribbled standing person whose head is a nuclear explosion, frantic drawing, high-octane, punk"
190,21851,"Painting, Creative Design, Depression, Biopunk, Body horror, by Marco Mazzoni, Francis Bacon"
191,12007,"despondency, black and white, ink sketch"
192,25918,"a meltdown from the point of view of an autistic child, digital art, featured on artstation,"
193,11050,"chinese men in a prison, organ harvesting, in the style of daniel johnston and outsider art, 4k, minimal, line brush"
194,5036,"“a pretty girl crying, realism, depression, trending on artstation”"
195,30056,"marijuana bud woman smoking, epic award winning professional profile photography, dystopian esoteric surrealism, dramatic cinematic lighting, high times, 8 k"
196,1290,"a photo in 2 0 2 2 of several members of the french scientific police analyzing a crime scene in the living room of an apartment, police"
197,26118,"snoop dog as marble statue, smoking weed, in marijuanas gardens, soft surface texture, very realistic 3 d render, soft sun lights, 4 k, high detailed photography result, 5 0 mm lens, rich deep colors, smooth gradients, depth of field, cinematic, hyper realism, high detail, octane render, unreal engine, 8 k, vibrant colors"
198,1386,emma watson being arrested
199,24953,"skeleton made of weed leaves, clear sky, scifi character portrait by greg rutkowski esuthio craig mullins"
200,10414,marijuana as soviet union communist propaganda poster
201,661,Donald Trump getting arrested by the FBI
202,3680,"overprotective old australian politicians guard cannabis from the population, detailed caricature cartoon"
203,3120,“ man committing armed robbery from the perspective of the bodega cat ”
204,25067,"photo of the first russian robot policeman guarding a vodka store, babushkas visible in the background"
205,17975,"police interrogation, digital art"
206,17017,"a man made of hemp, with a head in the form of a cannabis bloom, like young grut, green skin, character, art by james jean and greg rutkowski!!, realistic face, digital art, chibi style, golden ratio, perfect composition, trending on artstation, 8 k"
207,23324,"dream logo for cannabis company, Popeye smoking cannabis, old, dates, worn, faded"
208,2684,"a police officer throwing toilet paper and plunger for a baton, ultra realistic, concept art, intricate details, highly detailed, photorealistic, octane render, 8 k, unreal engine, art by frank frazetta, simon bisley, brom"
209,12056,donald trump in the cantina in star wars
210,31440,bernie sanders fighting freeza in the art style of akira toriyama
211,14713,"Limmy Waking Up meme but he's shrek, trending on reddit"
212,4136,"shrimp vs pigeon, mortal kombat style"
213,24874,"joe biden robbing mcdonald ’ s at 3 am, cctv footage, hyper detailed"
214,16955,"a donald trump as red anger in inside out extremely furious and on fire, mr. nimbus character design, sharp, rendered in unreal engine 5, anime key art by glen keane, ross tran, bloom, dramatic lighting, sunrise"
215,31619,donald trump getting slimed! on nickelodeon ( 9 0 s vhs )
216,11945,wojak meme
217,25179,Heat Miser
218,27676,"art of a dictionary, anomaly, teeth, faces, maps, illustration, emoji, self portrait, sticker, application, photomosh, aftherefects, transparency, shadows, gradients, typography, blur, overlay, filters, multiply, screen, appropriation, trashart"
219,8708,thanos in grand theft auto
220,4918,"a spritesheet of Alucard running. Pixel art, 16bits, sharp, vivid colors."
221,24287,post - irony trollface meme format template
222,24162,jerma
223,3687,"photo of putin, trump, obama and bush having a lightsaber fight"
224,5085,"pink zombie smurf attacks a cartoon, hyper realism, cinematic, high detail, 8k, octane render, depth of field"
225,273,"manga, blonde barbarianl!! clay! close detailed sculpted head , style: professional claymation puppet  clay , by guldies"
226,30748,"skeleton samurai, dramatic, very detailed, digital art, blue tones, katana"
227,27795,"📷 Sean McLoughlin, jacksepticeye, irish youtuber"
228,28764,Donald Trump doing the Here's Johnny! scene in The Shining
229,10907,"loss ( comic ), in the style of gottfried helnwein"
230,16088,''why would you even draw this....''
231,22308,"g - man in the style of jimmy neutron, screenshot from jimmy neutron"
232,23896,"instax polaroid film still of sonic the hedgehog with fangs and claws, creepypasta"
233,5655,sonic punches homer simpson while bart shoots at sonic.
234,19471,📷 Jacksepticeye screaming at the top of his voice
235,16078,hitler taking selfie with kwebbelkop iphone front camera
236,19402,doug walker caught on camera
237,2732,the horror!
238,28577,newspaper article shrek arrested drug possession
239,18006,Shrek in Minecraft screenshot
240,3155,anderson cooper interviewing thanos on cnn
241,19735,"highly detailed still of donald trump doing a tiktok dance, mobile phone screenshot"
242,3138,"harris ford really annoyed, claymation, creepy, weird faces"
243,23703,"the worst, most evil person ever"
244,14194,Draw the first thing that comes to mind
245,13643,"Jacob Rothschild and george soros by Ralph Steadman, illustration, body horror, biopunk, 8k , trending on artstation"
246,28118,"cartoonish peter capaldi running away, character sheet, fine details, concept design, contrast, kim jung gi, greg rutkowski, trending on artstation, 8 k, full body, turnaround, front view, back view, ultra wide angle"
247,7355,"scary the joker, character sheet, concept design, contrast, hot toys, kim jung gi, greg rutkowski, zabrocki, karlkka, jayison devadas, trending on artstation, 8 k, ultra wide angle, pincushion lens effect"
248,10454,"life is meaningless and we're all victims, the art of david cronenberg"
249,7011,"a mad scientist, character sheet, concept design, contrast, kim jung gi, greg rutkowski, zabrocki, karlkka, jayison devadas, trending on artstation, 8 k, ultra wide angle, pincushion lens effect"
250,28169,mark zuckerberg early concept art sketches
