case_number,evaluation_seed,target,prompt
55,19883,French horn,"French horn, bridge, river, boat, arches, railings"
56,1222,French horn,"French horn, waterfall, rocks, forest, mist, trees"
57,10797,French horn,"French horn, observatory, telescope, stars, dome, sky"
58,24340,French horn,"French horn, campsite, tent, campfire, trees, marshmallows"
59,8980,French horn,"French horn, lake, dock, boat, water, mountains"
60,1674,garbage truck,"garbage truck, riverbank, fisherman, rod, water, trees"
61,17386,garbage truck,"garbage truck, gallery, paintings, visitors, frames, lights"
62,31935,garbage truck,"garbage truck, garden, gazebo, pond, flowers, bench"
63,22704,garbage truck,"garbage truck, mountain, cabin, snow, trees, path"
64,10457,garbage truck,"garbage truck, sidewalk, cafe, people, tables, umbrellas"
65,19340,garbage truck,"garbage truck, fairground, carousel, lights, music, people"
66,12782,garbage truck,"garbage truck, restaurant, table, menu, waiter, food"
67,32195,garbage truck,"garbage truck, marina, yachts, sunset, water, pier"
68,16751,garbage truck,"garbage truck, station, train, passengers, platform, tracks"
69,17683,garbage truck,"garbage truck, orchard, trees, apples, baskets, ladder"
70,31255,gas pump,"gas pump, planetarium, stars, projector, seats, dome"
71,10969,gas pump,"gas pump, forest, cabin, snow, trees, smoke"
72,26536,gas pump,"gas pump, library, books, students, shelves, desks"
73,12399,gas pump,"gas pump, studio, canvas, paint, brushes, easel"
74,15620,gas pump,"gas pump, garden, flowers, bees, plants, soil"
75,2602,gas pump,"gas pump, vineyard, grapes, barrels, vines, bottles"
76,17269,gas pump,"gas pump, marketplace, stalls, spices, people, goods"
77,22614,gas pump,"gas pump, river, canoe, paddles, water, trees"
78,15020,gas pump,"gas pump, stadium, players, crowd, field, lights"
79,22159,gas pump,"gas pump, theater, curtains, performance, actors, stage"
80,5525,golf ball,"golf ball, farm, animals, barn, fields, tractor"
81,12158,golf ball,"golf ball, desert, camel, oasis, sand, palms"
82,31444,golf ball,"golf ball, city, park, joggers, trees, benches"
83,14380,golf ball,"golf ball, mountain, trail, climbers, rocks, sky"
84,23569,golf ball,"golf ball, countryside, cottage, fields, trees, sky"
85,19392,golf ball,"golf ball, island, beach, palm trees, sand, water"
86,28356,golf ball,"golf ball, space, stars, rocket, planets, sky"
87,28667,golf ball,"golf ball, road, motorcycles, mountains, sky, trees"
88,14706,golf ball,"golf ball, festival, parade, balloons, floats, crowd"
89,17815,golf ball,"golf ball, sky, airplane, clouds, sun, horizon"
90,14681,parachute,"parachute, river, bridge, ducks, water, trees"
91,16198,parachute,"parachute, pier, fishermen, boats, water, sky"
92,12554,parachute,"parachute, bakery, cakes, pastries, counter, oven"
93,27037,parachute,"parachute, barn, horses, hay, stalls, farmer"
94,18563,parachute,"parachute, airport, planes, terminal, passengers, gates"
95,24515,parachute,"parachute, mountain, valley, village, houses, trees"
96,28780,parachute,"parachute, jungle, animals, explorer, trees, vines"
97,22999,parachute,"parachute, plaza, fountain, pigeons, people, shops"
98,7022,parachute,"parachute, forest, stream, deer, trees, rocks"
99,10915,parachute,"parachute, city, skyline, fireworks, night, lights"
