case_number,evaluation_seed,prompt
86,8481,"a 50 year old brunnete chinese man, dramatic, close up shot, anime art, Greg Rutkowski, studio ghibli, dramatic lighting"
87,21740,"a beautiful!!! digital painting of a woman with black eyeliner, by mandy jurgens, dang my linh, yoji shinkawa, trending on artstation"
88,30880,"close up of a girl with pretty eyes, digital art, highly detailed, trending on artstation, award winning,"
89,21639,a young woman
90,6882,"a long friend, photography, award winning photo"
91,21558,"a closeup portrait of a young icelandic man, hd, 8k, artstation"
92,18091,"very tired man looking at the table, fantasy, intricate, elegant, highly detailed, digital painting,  artstation, concept art, sharp focus, illustration"
93,590,portrait of a man lying on the beach
94,25193,"a man pointing at the screen, futuristic, comic book, sci-fi, artstation, 8k, ultradetailed"
95,24007,a new yorker style cartoon of a man cleaning a room
96,31538,"a person, intricate, ultra detailed, photorealistic, trending on artstation"
97,28734,grizzly bear
98,16459,"a max tied up with long hair, a woman with short hair is standing in the foreground"
99,28968,a realistic detailed portrait painting of a man
